Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 37,24/04/21,Beşiktaş,Kayserispor,3,1,7.19,6.53,4-1-4-1,4-2-3-1,E. Destanoğlu; V. Rosier; D. Vida; F. Montero; F. N'Sakala; Souza; R. Ghezzal; (c) N. Uysal; A. Ljajić; G. N'Koudou; G. Töre,D. Alemdar; Z. Kvržić; D. Kolovetsios; N. Paz; A. Behich; J. Attamah; K. Muhar; A. Lennon; D. Alibec; P. Henrique; (c) İ. Parlak
20/21,Round 37,24/04/21,Denizlispor,Sivasspor,1,1,6.75,6.76,4-3-3,4-1-4-1,A. Sunger; Ö. Özdemir; F. Leismann; M. Özkal; S. Aytaç; R. Murawski; K. Aktaş; M. Bakalorz; Á. Sagal; (c) H. Rodallega; M. Mešanovič,A. Ş. Vural; A. Oğuz; C. Osmanpaşa; S. Camara; U. Çiftçi; Claudemir; E. Yeşilyurt; F. Fajr; (c) H. Arslan; M. Gradel; O. Kayode
20/21,Round 37,25/04/21,Yeni Malatyaspor,Ankaragücü,2,1,6.79,6.49,4-2-3-1,4-2-3-1,E. Özbir; I. Chebake; S. Kaya; T. L. Hadebe; K. Hafez; A. Ildız; Z. Yavru; M. Eskihellaç; (c) A. Büyük; M. Fofana; K. Kanatsızkuş,(c) K. Çelikay; S. Kitsiou; A. Kulušić; M. Pazdan; T. Pinto; E. Çekiçi; İ. Akdağ; S. Lobjanidze; I. Voca; J. Paintsil; A. Potuk
20/21,Round 37,25/04/21,Başakşehir,Alanyaspor,0,0,6.9,7.09,4-2-3-1,3-5-1-1,V. Babacan; U. Uçar; L. Duarte; A. Epureanu; Ö. A. Şahiner; T. Ciğerci; (c) M. Tekdemir; E. Višća; Giuliano; D. Aleksić; F. Gulbrandsen,Marafona; F. Aksoy; G. Tzavellas; F. Moubandje; T. Bingöl; S. Uçan; B. Kutlu; E. Bekiroğlu; Davidson; (c) E. Karaca; M. Pektemek
20/21,Round 37,25/04/21,Gaziantep,Erzurumspor,2,3,6.86,6.76,4-4-2,4-2-3-1,Ç. Ş. Akbaba; O. Ceylan; (c) P. Djilobodji; A. Toșca; G. Vural; K. Özer; J. Junior; A. Vetrih; A. Maxim; N. Dicko; M. Demir,J. Szumski; M. M. Uçar; G. Kardeş; H. Hatipoğlu; L. Schwechlen; P. Boumal; J. O. Omolo; E. Başsan; G. Obertan; (c) C. A. Alkılıç; R. Gomes
20/21,Round 37,25/04/21,Fenerbahçe,Kasımpaşa,3,2,6.99,6.63,4-1-4-1,4-2-3-1,H. Tekin; N. Sangaré; S. Aziz; A. Szalai; C. Erkin; J. Sosa; İ. C. Kahveci; (c) O. Tufan; M. H. Yandaş; D. Pelkas; Enner Valencia,E. Taşkıran; F. Hadergjonaj; D. Luckassen; T. Břečka; O. Haddadi; (c) L. Sadiku; K. Bistrović; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin
20/21,Round 36,20/04/21,Rizespor,Konyaspor,5,3,6.98,6.75,4-2-3-1,4-1-4-1,T. Çetin; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; D. Djoković; E. Sabo; K. Michalak; (c) F. Boldrin; B. Samudio; L. Rémy,I. Šehić; (c) N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; A. Hadžiahmetović; J. Sekidika; M. Jevtović; D. Milošević; Z. Bytyqi; S. Cikalleshi
20/21,Round 36,20/04/21,Karagümrük,Göztepe,1,1,6.92,6.86,3-5-1-1,4-4-2,A. Özer; V. E. Hedenstad; F. Kurucuk; (c) J. Durmaz; A. Ndao; M. E. Pehlivan; A. Aktaş; J. Lens; S. Ahmetoglu; Y. Salibur; M. Erdinç,A. Özçimen; M. Paluli; L. Gassama; K. Alıcı; (c) B. Emir; F. Diabaté; A. Esiti; O. Nwobodo; Z. Tripić; C. Ndiaye; B. Ideye
20/21,Round 36,20/04/21,Kayserispor,Gençlerbirliği,2,2,6.76,6.81,4-4-2,5-4-1,D. Alemdar; Z. Kvržić; (c) U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; D. Alibec; M. Çelik,U. Adiyaman; R. Berisbek; M. Mert; D. Angelo; (c) H. I. Pehlivan; P. Polomat; D. Candeias; R. Piris; S. Dikmen; S. Lima; B. Stancu
20/21,Round 36,20/04/21,Hatayspor,Antalyaspor,3,2,7.05,6.64,4-2-3-1,4-2-3-1,M. Mohamedi; S. Popov; J. C. Billong; P. Santos; A. Katranis; (c) R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; A. Boupendza; M. B. Diouf,R. Boffin; M. Yilmaz; B. Öztürk; Naldo; A. E. İyican; D. Sinik; (c) H. Özmert; S. Gürler; Fredy; A. d. Silva; L. Podolski
20/21,Round 36,20/04/21,Sivasspor,Beşiktaş,0,0,6.86,6.79,4-1-4-1,4-1-4-1,A. Ş. Vural; A. Oğuz; C. Osmanpaşa; S. Camara; (c) U. Çiftçi; Claudemir; E. Yeşilyurt; F. Fajr; R. Yalçın; M. Gradel; M. Yatabaré,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; (c) A. Hutchinson; D. Toköz; C. Larin; V. Aboubakar
20/21,Round 36,21/04/21,Erzurumspor,Yeni Malatyaspor,1,0,7.12,6.61,4-2-3-1,4-2-3-1,J. Szumski; M. M. Uçar; G. Kardeş; H. Hatipoğlu; L. Schwechlen; P. Boumal; J. O. Omolo; E. Başsan; G. Obertan; (c) C. A. Alkılıç; R. Gomes,E. Özbir; I. Chebake; S. Kaya; T. L. Hadebe; K. Hafez; A. Ildız; Z. Yavru; M. Fofana; K. Kanatsızkuş; (c) A. Büyük; U. Bulut
20/21,Round 36,21/04/21,Ankaragücü,Denizlispor,1,1,6.91,6.79,4-2-3-1,4-2-3-1,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; İ. Akdağ; E. Çekiçi; E. Güral; A. Potuk; Geraldo; J. Paintsil,A. Sunger; Ö. Özdemir; F. Leismann; O. Yılmaz; S. Aytaç; M. Diskerud; R. Murawski; Á. Sagal; M. Mešanovič; V. Tusha; (c) H. Rodallega
20/21,Round 36,21/04/21,Galatasaray,Trabzonspor,1,1,6.87,6.7,4-1-4-1,4-2-3-1,(c) F. Muslera; Ş. Özbayraklı; C. Luyindama; Marcão; M. Saracchi; T. Antalyalı; S. Feghouli; G. Fernandes; E. Kılınç; K. Aktürkoğlu; R. Babel,(c) U. Çakır; S. Asan; E. Ié; V. Hugo; Marlon; B. A. Özdemir; L. Baker; C. Ekuban; A. Bakasetas; A. N. Nwakaeme; T. Djaniny
20/21,Round 36,22/04/21,Alanyaspor,Gaziantep,3,2,6.91,6.75,4-1-4-1,4-4-2,Marafona; Juanfran; S. Caulker; (c) G. Tzavellas; F. Moubandje; M. Siopis; K. Babacar; S. Uçan; B. Kutlu; Davidson; M. Pektemek,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; A. Toșca; K. Mirallas; J. Junior; A. Vetrih; A. Maxim; N. Dicko; M. Demir
20/21,Round 36,22/04/21,Kasımpaşa,Başakşehir,0,1,6.76,6.92,4-1-4-1,4-2-3-1,(c) R. Köse; F. Hadergjonaj; D. Luckassen; T. Břečka; O. Haddadi; L. Sadiku; H. Hajradinović; T. Serbest; K. Bistrović; K. Varga; I. K. Thelin,V. Babacan; U. Uçar; L. Duarte; A. Epureanu; Ö. A. Şahiner; M. Topal; T. Ciğerci; (c) E. Višća; Giuliano; D. Aleksić; N. Chadli
20/21,Round 35,16/04/21,Gençlerbirliği,Sivasspor,2,3,6.81,6.85,4-2-3-1,4-1-4-1,K. Nordfeldt; M. Johansson; (c) H. I. Pehlivan; D. Angelo; P. Polomat; R. Piris; S. Dikmen; D. Candeias; S. Lima; S. Yılmaz; B. Stancu,A. Ş. Vural; A. Oğuz; C. Osmanpaşa; S. Camara; (c) U. Çiftçi; I. Cofie; E. Yeşilyurt; F. Fajr; R. Yalçın; M. Gradel; M. Yatabaré
20/21,Round 35,16/04/21,Konyaspor,Kayserispor,0,0,7.04,6.83,4-1-4-1,4-4-2,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; A. Hadžiahmetović; J. Sekidika; M. Jevtović; D. Milošević; Z. Bytyqi; S. Cikalleshi,D. Alemdar; Z. Kvržić; (c) U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; M. Çelik; K. Luckassen
20/21,Round 35,16/04/21,Antalyaspor,Rizespor,2,3,6.7,6.81,4-2-3-1,4-2-3-1,R. Boffin; M. Yilmaz; B. Öztürk; Naldo; A. E. İyican; V. Sarı; E. Albayrak; S. Gürler; D. Sinik; A. d. Silva; (c) L. Podolski,T. Çetin; F. Baiano; S. Ay; M. Talbi; İ. Köybaşı; (c) A. Durak; D. Djoković; F. Boldrin; E. Sabo; B. Samudio; L. Rémy
20/21,Round 35,16/04/21,Beşiktaş,Ankaragücü,2,2,6.53,6.67,4-2-3-1,4-2-3-1,E. Destanoğlu; V. Rosier; Welinton; D. Vida; R. Yılmaz; (c) A. Hutchinson; Souza; R. Ghezzal; O. Özyakup; G. N'Koudou; C. Larin,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; A. Potuk; İ. Akdağ; Geraldo; E. Güral; J. Paintsil; A. Badji
20/21,Round 35,17/04/21,Denizlispor,Erzurumspor,2,3,6.69,6.89,4-3-3,4-2-3-1,C. Gönen; F. Leismann; M. Yumlu; O. Yılmaz; S. Aytaç; Ö. Özdemir; R. Murawski; M. Diskerud; Á. Sagal; (c) H. Rodallega; H. Sacko,M. G. Bakırbaş; M. M. Uçar; A. Teikeu; H. Hatipoğlu; (c) L. Schwechlen; J. O. Omolo; P. Boumal; E. Başsan; G. Obertan; A. Novikovas; R. Gomes
20/21,Round 35,17/04/21,Trabzonspor,Hatayspor,1,1,6.68,6.81,4-1-4-1,4-2-3-1,(c) U. Çakır; S. Asan; E. Ié; M. Hosseini; Marlon; L. Baker; Y. Sarı; A. Bakasetas; A. Parmak; A. N. Nwakaeme; T. Djaniny,M. Mohamedi; S. Popov; (c) Y. Abdioğlu; P. Santos; A. Katranis; R. Aabid; R. Ribeiro; M. Kamara; A. Traoré; A. Boupendza; M. B. Diouf
20/21,Round 35,17/04/21,Yeni Malatyaspor,Alanyaspor,1,0,7.07,6.61,4-2-3-1,4-1-4-1,E. Özbir; I. Chebake; Wallace; T. L. Hadebe; K. Hafez; Z. Yavru; A. Afriyie; M. Fofana; A. Ildız; (c) A. Büyük; U. Bulut,Marafona; Juanfran; S. Caulker; (c) G. Tzavellas; F. Moubandje; M. Siopis; D. Kądzior; B. Kutlu; E. Bekiroğlu; Davidson; K. Babacar
20/21,Round 35,17/04/21,Göztepe,Galatasaray,1,3,6.43,6.96,4-2-3-1,4-1-4-1,İ. C. Eğribayat; L. Gassama; A. Nukan; B. Emir; D. Bureković; O. Nwobodo; S. Aydoğdu; (c) H. Akbunar; F. Diabaté; C. Ndiaye; A. Jahović,(c) F. Muslera; Ş. Özbayraklı; C. Luyindama; Marcão; M. Saracchi; T. Antalyalı; S. Feghouli; G. Fernandes; E. Kılınç; K. Aktürkoğlu; H. Dervişoğlu
20/21,Round 35,18/04/21,Gaziantep,Kasımpaşa,2,2,6.8,6.92,4-1-4-1,4-2-3-1,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; G. Vural; O. Rashid; K. Mirallas; K. Özer; A. Sousa; A. Maxim; N. Dicko,E. Taşkıran; F. Hadergjonaj; D. Luckassen; D. Tošić; O. Haddadi; K. Bistrović; (c) L. Sadiku; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin
20/21,Round 35,18/04/21,Başakşehir,Fenerbahçe,1,2,6.53,7.02,4-2-3-1,4-1-4-1,V. Babacan; Ö. A. Şahiner; Y. Ndayishimiye; C. Ponck; C. Sertel; T. Ciğerci; (c) M. Tekdemir; E. Višća; Giuliano; D. Aleksić; E. Crivelli,H. Tekin; N. Sangaré; S. Aziz; A. Szalai; C. Erkin; J. Sosa; İ. C. Kahveci; (c) O. Tufan; M. H. Yandaş; D. Pelkas; Enner Valencia
20/21,Round 34,10/04/21,Hatayspor,Göztepe,2,3,6.63,7.01,4-2-3-1,4-2-3-1,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; A. Boupendza; M. B. Diouf,İ. C. Eğribayat; L. Gassama; A. Öztürk; A. Nukan; D. Bureković; O. Nwobodo; S. Aydoğdu; (c) H. Akbunar; F. Diabaté; Z. Tripić; A. Jahović
20/21,Round 34,10/04/21,Rizespor,Trabzonspor,0,0,7.11,6.98,4-2-3-1,4-1-4-1,T. Çetin; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; Y. Pehlivan; D. Djoković; (c) F. Boldrin; F. Baiano; B. Samudio; M. Škoda,(c) U. Çakır; H. Türkmen; E. Ié; V. Hugo; Marlon; L. Baker; Flávio; A. Bakasetas; A. Parmak; Y. Malli; T. Djaniny
20/21,Round 34,10/04/21,Galatasaray,Karagümrük,1,1,6.9,6.8,4-1-4-1,4-1-4-1,(c) F. Muslera; D. Yedlin; R. Donk; Marcão; Ö. Bayram; O. Etebo; O. Çağlayan; G. Fernandes; E. Akbaba; R. Babel; M. Mohamed,(c) E. Viviano; K. Altınay; E. Roco; E. Zukanović; J. Balkovec; A. Bertolacci; A. Ndao; E. Tatlı; J. Durmaz; J. Lens; A. Sobiech
20/21,Round 34,11/04/21,Sivasspor,Konyaspor,3,1,6.75,6.51,4-1-4-1,4-1-4-1,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; M. Jevtović; L. Shengelia; A. Hadžiahmetović; A. Rahmanović; Z. Bytyqi; S. Cikalleshi
20/21,Round 34,11/04/21,Kayserispor,Antalyaspor,0,1,6.71,7.24,4-4-2,4-2-3-1,D. Alemdar; Z. Kvržić; (c) U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; M. Çelik; K. Luckassen,R. Boffin; B. Balcı; V. Sarı; Naldo; F. Kudryashov; D. Sinik; E. Albayrak; S. Sam; N. Şahin; A. d. Silva; (c) L. Podolski
20/21,Round 34,11/04/21,Ankaragücü,Gençlerbirliği,2,1,6.91,6.78,4-2-3-1,4-2-3-1,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; İ. Akdağ; E. Çekiçi; J. Paintsil; A. Potuk; T. Børven; A. Badji,K. Nordfeldt; M. Johansson; A. Kızıldağ; (c) D. Angelo; P. Polomat; R. Piris; S. Dikmen; D. Candeias; F. Ayité; S. Yılmaz; S. Lima
20/21,Round 34,11/04/21,Erzurumspor,Beşiktaş,2,4,6.55,6.83,4-2-3-1,4-1-4-1,J. Szumski; B. Butko; M. D. Costa; H. Hatipoğlu; L. Schwechlen; P. Boumal; J. O. Omolo; C. A. Alkılıç; (c) A. Chahechouhe; E. Başsan; M. E. Kabir,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; D. Toköz; R. Ghezzal; O. Özyakup; (c) A. Hutchinson; C. Larin; C. Tosun
20/21,Round 34,12/04/21,Kasımpaşa,Yeni Malatyaspor,0,0,7.06,6.82,4-1-4-1,4-4-2,E. Taşkıran; F. Hadergjonaj; D. Luckassen; D. Tošić; O. Haddadi; (c) L. Sadiku; G. Koomson; K. Bistrović; H. Hajradinović; K. Varga; I. K. Thelin,E. Özbir; I. Chebake; Wallace; T. L. Hadebe; K. Hafez; M. Eskihellaç; Z. Yavru; A. Afriyie; M. Fofana; (c) A. Büyük; B. Tetteh
20/21,Round 34,12/04/21,Alanyaspor,Denizlispor,3,2,7.04,6.85,4-1-4-1,3-5-2,Marafona; Juanfran; S. Caulker; (c) G. Tzavellas; F. Moubandje; M. Siopis; K. Babacar; B. Kutlu; E. Bekiroğlu; Davidson; A. Bareiro,A. Sunger; F. Leismann; (c) M. Yumlu; O. Yılmaz; Ö. Özdemir; M. Bakalorz; K. Aktaş; M. Diskerud; S. Aytaç; V. Tusha; H. Sacko
20/21,Round 34,12/04/21,Fenerbahçe,Gaziantep,3,1,6.98,6.56,4-1-4-1,4-2-3-1,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; J. Sosa; İ. C. Kahveci; M. H. Yandaş; O. Tufan; D. Pelkas; Enner Valencia,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; J. Morais; O. Rashid; A. Vetrih; K. Özer; K. Mirallas; A. Maxim; N. Dicko
20/21,Round 33,06/04/21,Karagümrük,Hatayspor,1,0,6.95,6.78,4-1-4-1,4-2-3-1,E. Viviano; V. E. Hedenstad; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; A. Ndao; L. Castro; A. Bertolacci; J. Durmaz; M. Erdinç,M. Mohamedi; B. Çamoğlu; (c) Y. Abdioğlu; P. Santos; A. Katranis; R. Ribeiro; R. Aabid; D. Babajide; A. Traoré; M. Kamara; M. B. Diouf
20/21,Round 33,06/04/21,Göztepe,Rizespor,2,0,6.89,6.61,4-2-3-1,4-1-4-1,İ. C. Eğribayat; M. Paluli; Titi; A. Nukan; B. Emir; O. Nwobodo; S. Aydoğdu; (c) H. Akbunar; P. Žulj; Z. Tripić; C. Ndiaye,(c) G. Akkan; F. Baiano; Y. Meriah; M. Talbi; D. Melnjak; D. Djoković; T. Torun; D. Erdoğan; E. Sabo; F. Andrade; B. Samudio
20/21,Round 33,06/04/21,Trabzonspor,Kayserispor,1,1,7.17,6.89,4-3-3,4-4-2,(c) U. Çakır; H. Türkmen; M. Hosseini; V. Hugo; Marlon; A. Bakasetas; L. Baker; Flávio; C. Ekuban; T. Djaniny; A. N. Nwakaeme,D. Alemdar; Z. Kvržić; U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; K. Muhar; D. Avramovski; P. Henrique; M. Çelik; (c) İ. Parlak
20/21,Round 33,07/04/21,Gençlerbirliği,Erzurumspor,1,1,6.68,7.06,4-2-3-1,4-2-3-1,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; M. Yildirim; S. Yılmaz; S. Lima,J. Szumski; M. M. Uçar; M. D. Costa; H. Hatipoğlu; L. Schwechlen; J. O. Omolo; P. Boumal; C. A. Alkılıç; (c) A. Chahechouhe; E. Başsan; M. E. Kabir
20/21,Round 33,07/04/21,Konyaspor,Ankaragücü,1,1,6.89,6.83,4-1-4-1,4-2-3-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; M. Jevtović; J. Sekidika; A. Hadžiahmetović; D. Milošević; Z. Bytyqi; S. Cikalleshi,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; İ. Akdağ; E. Çekiçi; T. Børven; A. Potuk; J. Paintsil; A. Badji
20/21,Round 33,07/04/21,Antalyaspor,Sivasspor,2,4,6.57,6.94,4-2-3-1,4-1-4-1,R. Boffin; B. Balcı; V. Sarı; F. Kudryashov; E. Albayrak; U. Akyol; D. Sinik; S. Sam; Fredy; A. d. Silva; (c) L. Podolski,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré
20/21,Round 33,07/04/21,Beşiktaş,Alanyaspor,3,0,7.23,6.51,4-1-4-1,4-1-4-1,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; O. Özyakup; (c) A. Hutchinson; C. Larin; C. Tosun,Marafona; Juanfran; F. Aksoy; (c) G. Tzavellas; F. Moubandje; B. Kutlu; K. Babacar; S. Uçan; C. Gülselam; Davidson; A. Bareiro
20/21,Round 33,08/04/21,Denizlispor,Kasımpaşa,1,1,6.88,6.81,4-3-3,4-1-4-1,C. Gönen; F. Leismann; O. Yılmaz; M. Yumlu; S. Aytaç; M. Bakalorz; R. Murawski; M. Diskerud; Á. Sagal; (c) H. Rodallega; M. Mešanovič,E. Taşkıran; F. Hadergjonaj; D. Luckassen; T. Břečka; O. Haddadi; (c) L. Sadiku; G. Koomson; H. Hajradinović; D. Drinkwater; K. Varga; I. K. Thelin
20/21,Round 33,08/04/21,Gaziantep,Başakşehir,2,0,6.93,6.75,4-4-2,4-2-3-1,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; J. Morais; K. Mirallas; O. Rashid; A. Vetrih; A. Maxim; N. Dicko; K. Özer,V. Babacan; U. Uçar; C. Ponck; A. Epureanu; C. Sertel; Y. Ndayishimiye; T. Ciğerci; (c) E. Višća; Giuliano; D. Türüç; D. Ba
20/21,Round 33,08/04/21,Yeni Malatyaspor,Fenerbahçe,1,1,6.75,6.87,4-4-2,4-1-4-1,E. Özbir; I. Chebake; Wallace; S. Kaya; K. Hafez; M. Eskihellaç; S. Mallan; A. Afriyie; M. Fofana; (c) A. Büyük; B. Tetteh,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; L. Gustavo; B. Osayi-Samuel; İ. C. Kahveci; O. Tufan; Enner Valencia; M. Samatta
20/21,Round 32,03/04/21,Kayserispor,Göztepe,1,1,7.0,6.63,4-4-2,4-1-4-1,D. Alemdar; Z. Kvržić; U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; M. Çelik; (c) İ. Parlak,İ. C. Eğribayat; L. Gassama; A. Öztürk; A. Nukan; B. Emir; A. Esiti; (c) H. Akbunar; F. Diabaté; S. Aydoğdu; C. Ndiaye; A. Jahović
20/21,Round 32,03/04/21,Rizespor,Karagümrük,0,0,6.84,6.86,4-2-3-1,4-2-3-1,(c) G. Akkan; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; E. Sabo; D. Djoković; F. Boldrin; F. Baiano; B. Samudio; M. Škoda,E. Viviano; K. Altınay; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; J. Durmaz; J. Lens; L. Castro; Y. Salibur; A. Sobiech
20/21,Round 32,03/04/21,Sivasspor,Trabzonspor,0,0,6.95,6.95,4-1-4-1,4-1-4-1,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré,(c) U. Çakır; H. Türkmen; E. Ié; V. Hugo; Marlon; A. Parmak; Y. Sarı; A. Bakasetas; Y. Malli; A. N. Nwakaeme; C. Ekuban
20/21,Round 32,03/04/21,Hatayspor,Galatasaray,3,0,7.12,6.56,4-2-3-1,4-1-4-1,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; M. Kamara; M. B. Diouf,(c) F. Muslera; Ş. Özbayraklı; R. Donk; G. Fernandes; M. Saracchi; O. Etebo; A. Turan; S. Feghouli; Ö. Bayram; H. Onyekuru; M. Mohamed
20/21,Round 32,04/04/21,Erzurumspor,Konyaspor,1,2,6.85,6.79,4-4-2,4-2-3-1,J. Szumski; M. M. Uçar; M. D. Costa; L. Schwechlen; Z. Bergdich; E. Başsan; G. Obertan; J. O. Omolo; E. Rashani; R. Gomes; (c) A. Chahechouhe,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; D. Milošević; M. Jevtović; J. Sekidika; O. K. Güçtekin; Z. Bytyqi; S. Cikalleshi
20/21,Round 32,04/04/21,Alanyaspor,Gençlerbirliği,1,2,6.73,6.91,4-1-4-1,4-2-3-1,Marafona; Juanfran; F. Aksoy; F. Moubandje; T. Bingöl; M. Siopis; D. Kądzior; (c) S. Uçan; B. Kutlu; Davidson; M. Pektemek,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; M. Yildirim; S. Yılmaz; S. Lima
20/21,Round 32,04/04/21,Başakşehir,Yeni Malatyaspor,3,1,6.89,6.62,4-2-3-1,4-4-2,V. Babacan; Ö. A. Şahiner; C. Ponck; L. Duarte; C. Sertel; Y. Ndayishimiye; T. Ciğerci; (c) E. Višća; Giuliano; D. Türüç; D. Ba,A. Damlu; I. Chebake; Wallace; S. Kaya; K. Hafez; M. Eskihellaç; A. Ildız; A. Afriyie; M. Fofana; B. Tetteh; (c) A. Büyük
20/21,Round 32,04/04/21,Ankaragücü,Antalyaspor,1,0,7.11,6.75,4-2-3-1,4-2-3-1,(c) K. Çelikay; S. Kitsiou; A. Kulušić; M. Pazdan; T. Pinto; İ. Akdağ; E. Çekiçi; Geraldo; A. Potuk; S. Lobjanidze; T. Børven,R. Boffin; B. Balcı; V. Sarı; Naldo; E. Albayrak; N. Şahin; (c) H. Özmert; S. Sam; Fredy; A. d. Silva; L. Podolski
20/21,Round 32,04/04/21,Kasımpaşa,Beşiktaş,1,0,6.95,6.87,4-2-3-1,4-1-4-1,E. Taşkıran; F. Hadergjonaj; D. Luckassen; D. Tošić; O. Haddadi; (c) L. Sadiku; A. Kara; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin,E. Destanoğlu; N. Uysal; Welinton; D. Vida; F. N'Sakala; Souza; V. Rosier; (c) A. Hutchinson; A. Ljajić; G. N'Koudou; C. Larin
20/21,Round 32,05/04/21,Fenerbahçe,Denizlispor,1,0,7.01,6.71,4-1-4-1,4-1-4-1,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; L. Gustavo; S. Gümüş; O. Tufan; D. Pelkas; Enner Valencia; M. Samatta,C. Gönen; F. Leismann; O. Yılmaz; M. Yumlu; S. Aytaç; R. Murawski; H. Sacko; M. Bakalorz; M. Diskerud; Á. Sagal; (c) H. Rodallega
20/21,Round 31,19/03/21,Karagümrük,Kayserispor,3,0,7.14,6.61,4-1-4-1,4-2-3-1,E. Viviano; V. E. Hedenstad; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; Y. Salibur; L. Castro; A. Bertolacci; J. Durmaz; F. Borini,D. Alemdar; R. Civelek; D. Kolovetsios; (c) C. Săpunaru; A. Behich; J. Attamah; K. Muhar; A. Lennon; D. Avramovski; P. Henrique; İ. Parlak
20/21,Round 31,19/03/21,Galatasaray,Rizespor,3,4,6.46,6.66,4-1-3-2,4-1-4-1,(c) F. Muslera; D. Yedlin; C. Luyindama; Marcão; M. Saracchi; O. Etebo; G. Fernandes; E. Akbaba; E. Kılınç; R. Falcao; M. Mohamed,(c) G. Akkan; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; D. Djoković; F. Baiano; E. Sabo; F. Boldrin; B. Samudio; M. Škoda
20/21,Round 31,20/03/21,Gençlerbirliği,Kasımpaşa,2,1,6.92,6.85,4-2-3-1,4-2-3-1,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; S. Dikmen; R. Piris; D. Candeias; M. Yildirim; F. Ayité; S. Lima,(c) R. Köse; F. Hadergjonaj; L. Sadiku; D. Tošić; O. Haddadi; A. Kara; D. Drinkwater; G. Koomson; H. Hajradinović; Y. Erdoğan; I. K. Thelin
