Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 38,24/05/24,Alanyaspor,Antalyaspor,1,1,7.03,6.78,4-2-3-1,4-2-3-1,Y. Karagöz; F. Hadergjonaj; F. Bayır; N. Lima; F. Aliti; N. Janvier; J. Novais; Carlos Eduardo; (c) E. Karaca; Y. Özdemir; U. Hwang,A. Dadakdeniz; M. Yilmaz; (c) V. Sarı; A. Gerxhaliu; G. Vural; J. Kałuziński; D. Milošević; S. v. d. Streek; R. Safuri; S. Larsson; A. Buksa
23/24,Round 38,25/05/24,Karagümrük,Samsunspor,3,1,7.01,6.74,4-2-3-1,4-2-3-1,E. Bilgin; N. Sangaré; (c) D. Biraschi; K. Günter; E. Tintiş; F. Paoletti; A. Uğur; C. Keleş; T. Teklić; R. Mendes; Marcão,J. Szumski; H. M. Tan; Y. E. Çift; Y. A. Bennasser; M. Bola; (c) O. Çelik; F. Tait; B. Raman; C. Holse; A. Muja; E. Kara
23/24,Round 38,25/05/24,Sivasspor,Kayserispor,2,1,6.94,6.78,4-1-4-1,4-2-3-1,Đ. Nikolić; M. Paluli; A. Appindangoyé; M. Albayrak; U. Çiftçi; C. Charisis; E. Başsan; A. Turgunboev; M. Caktaš; B. Koita; (c) R. Manaj,O. Piri; (c) J. Attamah; J. Jeanvier; A. Kocaman; L. Carole; K. K. Yılmaz; M. Bourabia; C. Mané; M. E. Özbek; A. B. Morte; S. Bahoken
23/24,Round 38,26/05/24,Adana DS,Başakşehir,2,6,6.35,,5-4-1,4-1-4-1,Y. Aktaş; İ. Çokçalış; A. Gravillon; (c) D. Toköz; A. Burak; Y. Atal; S. Mendoza; Maestro; É. Michut; O. Demirbağ; T. Aydoğan,D. Dilmen; O. Kemen; H. Güreler; J. Opoku; L. Dubois; O. Ergün; D. Türüç; (c) Ö. A. Şahiner; B. Özcan; Davidson; K. Piątek
23/24,Round 38,26/05/24,Fenerbahçe,İstanbulspor,6,0,7.54,6.35,4-4-2,5-4-1,D. Livaković; B. Osayi-Samuel; R. Becão; Ç. Söyüncü; F. Kadıoğlu; J. King; Fred; S. Szymański; D. Tadić; S. Dursun; (c) E. Džeko,M. Serbest; D. Sambissa; B. Vardar; O. Erdoğan; R. Coly; (c) A. Yaşar; V. Temel; M. Vorobjovas; Jackson; Ö. Şahan; M. Mamadou
23/24,Round 38,26/05/24,Hatayspor,Rizespor,2,0,7.14,6.64,4-1-4-1,4-2-3-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; Ö. F. Beyaz; M. Boudjemaa; G. Sağlam; F. Dele-Bashiru; C. Strandberg,(c) T. Çetin; M. T. Şahin; H. Alikulov; S. A. Yasar; C. Højer; M. Pala; J. Shelvey; I. Olawoyin; M. Sarıkaya; M. Minchev; A. Gaich
23/24,Round 38,26/05/24,Kasımpaşa,Beşiktaş,2,1,7.25,6.79,4-1-4-1,4-3-3,A. Gianniotis; G. Gül; J. Porozo; S. Çiftpınar; Y. Özcan; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; O. Çağlayan; N. Da Costa,E. Destanoğlu; O. Bulut; T. T. Sanuç; B. Zaynutdinov; A. Masuaku; F. Ay; D. E. Tıknaz; A. Oxlade-Chamberlain; M. Hekimoglu; (c) C. Tosun; S. Kilicsoy
23/24,Round 38,26/05/24,Konyaspor,Galatasaray,1,3,6.77,7.14,4-2-3-1,4-2-3-1,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi,(c) F. Muslera; K. Ayhan; D. Sánchez; A. Bardakcı; D. Köhn; L. Torreira; B. Kutlu; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
23/24,Round 38,26/05/24,Pendikspor,Gaziantep,0,1,6.88,6.91,4-3-3,4-3-3,E. Canpolat; (c) E. Özgenç; A. Öztürk; M. Akça; N. Sequeira; E. Çekiçi; F. Midtsjø; A. Lusamba; L. Kappel; M. U. Nayir; M. Thiam,F. Niță; Ö. Artan; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; D. Drăguş; M. Gradel
23/24,Round 38,26/05/24,Trabzonspor,Ankaragücü,4,2,7.08,6.61,4-2-3-1,4-2-3-1,M. T. Tepe; T. Meunier; R. Baniya; F. Benković; E. Elmalı; (c) B. A. Özdemir; U. Güneş; N. Pépé; E. Bardhi; M. Trézéguet; E. Destan,B. H. Güngördü; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; A. Flips; A. K. Güneren; C. Bassogog; R. Saponara; A. Chatzigiovanis; A. Sowe
23/24,Round 37,17/05/24,İstanbulspor,Sivasspor,1,3,6.85,6.93,5-4-1,4-1-4-1,M. Serbest; D. Duhaney; O. Erdoğan; M. Yeşil; S. Deli; (c) A. Yaşar; D. Sambissa; M. Vorobjovas; F. Loshaj; M. Mamadou; Jackson,Đ. Nikolić; A. Okumuş; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Elmaz; B. Koita; A. Turgunboev; C. Charisis; C. N'Jie; R. Manaj
23/24,Round 37,17/05/24,Antalyaspor,Adana DS,2,1,7.01,6.86,4-2-3-1,5-4-1,H. Leite; M. Yilmaz; (c) V. Sarı; A. Gerxhaliu; G. Vural; J. Kałuziński; D. Šarić; B. Assombalonga; R. Safuri; S. Larsson; A. Buksa,Ş. Mahammadaliev; İ. Çokçalış; A. Gravillon; (c) D. Toköz; A. Burak; Y. Atal; T. Aydoğan; Maestro; É. Michut; N. Alioui; S. Mendoza
23/24,Round 37,18/05/24,Başakşehir,Trabzonspor,0,1,6.8,6.99,4-1-4-1,4-2-3-1,M. Şengezer; L. Duarte; O. Ba; J. Opoku; (c) Ö. A. Şahiner; O. Ergün; D. Türüç; O. Kemen; B. Özcan; Davidson; K. Piątek,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; E. Elmalı; B. A. Özdemir; U. Güneş; E. Višća; E. Bardhi; T. Fountas; P. Onuachu
23/24,Round 37,18/05/24,Beşiktaş,Hatayspor,2,2,6.89,6.85,4-2-3-1,4-1-4-1,E. Destanoğlu; J. Svensson; T. T. Sanuç; O. Colley; A. Masuaku; D. E. Tıknaz; M. A. Musrati; M. Rashica; A. Oxlade-Chamberlain; S. Kilicsoy; (c) C. Tosun,V. Bekaj; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; F. Dele-Bashiru; M. Boudjemaa; R. Pedro; J. Fernandes; C. Strandberg
23/24,Round 37,18/05/24,Rizespor,Kasımpaşa,0,0,7.06,7.03,4-2-3-1,4-1-4-1,T. Çetin; M. T. Şahin; A. Mocsi; S. A. Yasar; C. Højer; (c) J. Shelvey; M. Sarıkaya; D. Babajide; I. Olawoyin; A. Zeqiri; A. Gaich,A. Gianniotis; G. Gül; J. Porozo; S. Çiftpınar; M. B. Ouanes; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa
23/24,Round 37,18/05/24,Gaziantep,Karagümrük,3,1,6.93,6.53,4-3-3,4-1-4-1,F. Niță; S. M'Bakata; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; A. Badji; M. Gradel,S. Sirigu; D. Biraschi; K. Günter; F. Ceccherini; (c) M. Mercan; D. Kourbelis; C. Keleş; M. Rohdén; V. Eysseric; R. Mendes; Marcão
23/24,Round 37,18/05/24,Kayserispor,Konyaspor,2,2,6.44,6.94,4-2-3-1,4-2-3-1,O. Piri; G. Sazdağı; J. Jeanvier; (c) D. Kolovetsios; L. Carole; M. Bourabia; K. K. Yılmaz; A. B. Morte; M. Cardoso; C. Mané; D. Nazon,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; S. N'Zonzi; (c) S. Dikmen; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi
23/24,Round 37,18/05/24,Ankaragücü,Pendikspor,0,0,6.9,7.01,4-1-4-1,4-2-3-1,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; K. Karataş; (c) T. Ciğerci; C. Bassogog; E. Bekiroğlu; Pedrinho; G. Rodrigues; A. Sowe,E. Canpolat; (c) E. Özgenç; A. Öztürk; Welinton; N. Sequeira; F. Midtsjø; A. Lusamba; H. Akbunar; G. Kaya; A. Diaby; M. U. Nayir
23/24,Round 37,18/05/24,Samsunspor,Alanyaspor,1,1,6.76,6.78,4-2-3-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; Y. E. Çift; R. V. Drongelen; S. Gönül; Y. A. Bennasser; T. Antalyalı; C. Holse; O. Ntcham; E. Kılınç; M. Mouandilmadji,E. Taşkıran; F. Hadergjonaj; N. Lima; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; L. Augusto; A. Hassan
23/24,Round 37,19/05/24,Galatasaray,Fenerbahçe,0,1,6.75,6.62,4-2-3-1,4-2-3-1,(c) F. Muslera; K. Ayhan; V. Nelsson; D. Sánchez; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi,D. Livaković; B. Osayi-Samuel; Ç. Söyüncü; J. Oosterwolde; F. Kadıoğlu; A. Djiku; Fred; S. Szymański; M. H. Yandaş; (c) D. Tadić; M. Batshuayi
23/24,Round 36,12/05/24,Adana DS,Gaziantep,1,6,6.04,7.33,4-2-3-1,4-3-3,Ş. Mahammadaliev; İ. Çokçalış; J. Manev; A. Gravillon; M. Mohammadi; T. Aydoğan; É. Michut; S. Mendoza; Maestro; Y. Erdoğan; (c) M. Balotelli,F. Niță; S. M'Bakata; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; D. Drăguş; M. Gradel
23/24,Round 36,12/05/24,Alanyaspor,Beşiktaş,1,1,6.97,6.86,3-4-1-2,4-2-3-1,E. Taşkıran; (c) F. Aksoy; F. Aliti; J. Balkovec; F. Hadergjonaj; Richard Cândido; L. Fer; L. Augusto; Carlos Eduardo; O. Aydın; U. Hwang,M. Günok; J. Svensson; T. T. Sanuç; (c) N. Uysal; A. Masuaku; S. Uçan; G. Fernandes; O. Bulut; E. Muçi; J. Muleka; C. Tosun
23/24,Round 36,12/05/24,Karagümrük,Galatasaray,2,3,6.74,7.18,4-2-3-1,4-2-3-1,S. Sirigu; N. Sangaré; K. Günter; F. Ceccherini; (c) M. Mercan; M. Rohdén; D. Kourbelis; C. Keleş; V. Eysseric; R. Mendes; Marcão,(c) F. Muslera; K. Ayhan; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi
23/24,Round 36,12/05/24,Fenerbahçe,Kayserispor,3,0,7.23,6.66,4-2-3-1,4-2-3-1,D. Livaković; F. Kadıoğlu; R. Becão; Ç. Söyüncü; J. Oosterwolde; A. Djiku; Fred; C. Ünder; S. Szymański; (c) D. Tadić; M. Batshuayi,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; L. Carole; K. K. Yılmaz; O. Shukurov; M. Cardoso; M. Bourabia; C. Mané; A. B. Morte
23/24,Round 36,12/05/24,Hatayspor,Ankaragücü,2,1,6.95,6.86,4-1-4-1,4-1-4-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; C. Demir; F. Ghoulam; C. Massanga; J. Fernandes; M. Boudjemaa; F. Dele-Bashiru; D. Sinik; C. Strandberg,E. Özbir; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; Pedrinho; C. Bassogog; A. Flips; E. Bekiroğlu; A. Chatzigiovanis; A. Sowe
23/24,Round 36,12/05/24,Kasımpaşa,Antalyaspor,3,1,6.99,6.73,4-1-4-1,4-4-2,A. Gianniotis; G. Gül; J. Porozo; Y. Özcan; M. B. Ouanes; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa,H. Leite; (c) V. Sarı; Naldo; Ö. Toprak; G. Vural; E. Yeşilyurt; J. Kałuziński; D. Šarić; S. Larsson; R. Safuri; B. Assombalonga
23/24,Round 36,12/05/24,Konyaspor,Samsunspor,3,0,7.09,6.51,4-2-3-1,4-2-3-1,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; S. N'Zonzi; (c) S. Dikmen; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi,O. Kocuk; K. Schindler; Y. E. Çift; R. V. Drongelen; M. Bola; F. Tait; T. Antalyalı; B. Raman; C. Holse; (c) E. Kılınç; M. Mouandilmadji
23/24,Round 36,12/05/24,Pendikspor,Rizespor,2,1,6.92,6.77,4-2-3-1,4-2-3-1,E. Canpolat; (c) E. Özgenç; A. Öztürk; Welinton; E. Taşdemir; A. Lusamba; B. Ndiaye; H. Akbunar; G. Kaya; M. Thiam; E. Yardımcı,T. Çetin; M. T. Şahin; A. Mocsi; H. Alikulov; H. I. Pehlivan; (c) J. Shelvey; M. Sarıkaya; D. Babajide; I. Olawoyin; A. Zeqiri; M. Minchev
23/24,Round 36,12/05/24,Sivasspor,Başakşehir,0,1,6.78,7.06,5-4-1,4-1-4-1,Đ. Nikolić; M. Paluli; A. Appindangoyé; A. Poungouras; S. Camara; (c) U. Çiftçi; B. Koita; C. Charisis; İ. Akdağ; A. Turgunboev; R. Manaj,M. Şengezer; L. Duarte; O. Ba; J. Opoku; L. Dubois; O. Ergün; D. Türüç; (c) Ö. A. Şahiner; O. Kemen; Davidson; K. Piątek
23/24,Round 36,12/05/24,Trabzonspor,İstanbulspor,3,0,7.25,6.61,4-3-3,5-4-1,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; E. Elmalı; E. Bardhi; U. Güneş; N. Pépé; E. Višća; P. Onuachu; T. Fountas,M. Serbest; D. Duhaney; O. Erdoğan; M. Yeşil; R. Coly; (c) A. Yaşar; D. Sambissa; M. Vorobjovas; F. Loshaj; Jackson; M. Mamadou
