Team Name,Player Name,Age,Market Value
Gaziantep FK,Marko Jevtović,31,700 bin €
MKE Ankaragücü,Arda Kızıldağ,26,800 bin €
Galatasaray,Yunus Akgün,24,11.00 mil. €
Hatayspor,Zé Luís,33,200 bin €
Fenerbahçe,Joshua King,32,2.00 mil. €
MKE Ankaragücü,Uroš Radaković,30,850 bin €
Fenerbahçe,Miguel Crespo,28,3.50 mil. €
Fenerbahçe,Attila Szalai,26,2.00 mil. €
Başakşehir FK,Nacer Chadli,35,300 bin €
Hatayspor,Christian Atsu,-,-
Antalyaspor,Christian Luyindama,30,150 bin €
Adana Demirspor,Mario Balotelli,34,500 bin €
Konyaspor,Sokol Cikalleshi,34,400 bin €
Kasımpaşa,Mehmet Feyzi Yıldırım,28,125 bin €
Galatasaray,Kâzımcan Karataş,21,1.50 mil. €
Kayserispor,Olivier Kemen,28,2.20 mil. €
Ümraniyespor,Orkun Özdemir,29,200 bin €
Konyaspor,Ibrahim Šehić,36,700 bin €
Başakşehir FK,Lucas Lima,34,550 bin €
Gaziantep FK,Alexander Merkel,32,700 bin €
Hatayspor,Erce Kardeşler,30,400 bin €
Beşiktaş,Omar Colley,32,2.50 mil. €
Beşiktaş,Onur Bulut,30,1.40 mil. €
Sivasspor,Charis Charisis,29,1.00 mil. €
Trabzonspor,Enis Bardhi,29,4.70 mil. €
Antalyaspor,Erdal Rakip,28,800 bin €
Trabzonspor,Umut Bozok,28,1.40 mil. €
Konyaspor,Adil Demirbağ,27,1.80 mil. €
MKE Ankaragücü,Marlon,29,3.50 mil. €
Kasımpaşa,Aytaç Kara,31,1.20 mil. €
Ümraniyespor,Yonathan Del Valle,34,100 bin €
Başakşehir FK,Adnan Januzaj,29,2.00 mil. €
İstanbulspor,Ertuğrul Ersoy,27,600 bin €
Galatasaray,Patrick van Aanholt,34,900 bin €
Kasımpaşa,Papy Djilobodji,36,300 bin €
Fenerbahçe,Altay Bayındır,26,10.00 mil. €
Sivasspor,Fredrik Ulvestad,32,400 bin €
Hatayspor,Kerim Alıcı,27,200 bin €
Adana Demirspor,Jovan Manev,23,450 bin €
Kasımpaşa,Haris Hajradinović,30,2.00 mil. €
MKE Ankaragücü,Ali Sowe,30,1.70 mil. €
Başakşehir FK,Lucas Biglia,38,-
İstanbulspor,Okan Erdoğan,26,750 bin €
Sivasspor,Muammer Yıldırım,34,25 bin €
Giresunspor,Riad Bajić,30,600 bin €
Başakşehir FK,Volkan Babacan,36,50 bin €
Giresunspor,Vukan Savićević,30,600 bin €
Adana Demirspor,Benjamin Stambouli,34,500 bin €
Kayserispor,Bilal Bayazit,25,2.20 mil. €
Kayserispor,Mame Thiam,32,2.40 mil. €
İstanbulspor,Muammer Sarıkaya,26,700 bin €
Konyaspor,Mame Biram Diouf,37,100 bin €
Kayserispor,Arif Kocaman,21,1.50 mil. €
Trabzonspor,Bruno Peres,34,250 bin €
Beşiktaş,Mert Günok,35,1.20 mil. €
İstanbulspor,Onur Ergün,32,500 bin €
Fenerbahçe,Luan Peres,30,1.30 mil. €
Adana Demirspor,Gökhan Inler,40,-
Sivasspor,Max Gradel,37,650 bin €
Kayserispor,Lionel Carole,33,500 bin €
Antalyaspor,Fredy,38,-
Galatasaray,Léo Dubois,30,2.70 mil. €
İstanbulspor,Valon Ethemi,27,1.10 mil. €
Başakşehir FK,Ömer Ali Şahiner,32,400 bin €
Sivasspor,Caner Osmanpaşa,36,100 bin €
Galatasaray,Juan Mata,36,700 bin €
Alanyaspor,Wilson Eduardo,34,75 bin €
Başakşehir FK,Danijel Aleksić,33,700 bin €
Kasımpaşa,Bengali-Fodé Koita,34,100 bin €
Ümraniyespor,Oğuz Gürbulak,32,225 bin €
Fatih Karagümrük,Sofiane Feghouli,35,300 bin €
Kayserispor,Emrah Başsan,32,450 bin €
Kayserispor,Miguel Cardoso,30,2.20 mil. €
Alanyaspor,Ahmed Hassan,31,900 bin €
Başakşehir FK,João Figueiredo,28,2.30 mil. €
Alanyaspor,Furkan Bayır,24,1.50 mil. €
İstanbulspor,Mehmet Yeşil,26,600 bin €
İstanbulspor,Florian Loshaj,28,650 bin €
Antalyaspor,Ömer Toprak,35,-
Adana Demirspor,Furkan Soyalp,29,600 bin €
Sivasspor,Isaac Cofie,33,75 bin €
MKE Ankaragücü,Gökhan Töre,32,75 bin €
Galatasaray,Sam Adekugbe,29,1.00 mil. €
Galatasaray,Bafetimbi Gomis,39,-
Trabzonspor,Manolis Siopis,30,3.00 mil. €
Galatasaray,Berkan Kutlu,26,3.80 mil. €
İstanbulspor,Jetmir Topalli,26,700 bin €
MKE Ankaragücü,Ghayas Zahid,30,2.50 mil. €
Başakşehir FK,Ahmed Touba,26,2.20 mil. €
Fatih Karagümrük,Rayyan Baniya,25,2.50 mil. €
Antalyaspor,Veysel Sarı,36,150 bin €
Kayserispor,Bernard Mensah,30,2.80 mil. €
Galatasaray,Emre Taşdemir,29,150 bin €
Kasımpaşa,Bersant Celina,28,1.50 mil. €
Fenerbahçe,Diego Rossi,26,8.00 mil. €
Sivasspor,Mustapha Yatabaré,38,50 bin €
İstanbulspor,Emeka Eze,28,700 bin €
Ümraniyespor,Allyson,27,1.50 mil. €
MKE Ankaragücü,Atakan Çankaya,26,800 bin €
İstanbulspor,Eduart Rroca,31,350 bin €
Kasımpaşa,Florent Hadergjonaj,30,1.60 mil. €
Adana Demirspor,Fredrik Gulbrandsen,32,900 bin €
Başakşehir FK,Bertrand Traoré,29,9.00 mil. €
Sivasspor,Emre Gökay,18,1.20 mil. €
Trabzonspor,Stefano Denswil,31,2.10 mil. €
Fenerbahçe,Bruma,30,8.00 mil. €
Kasımpaşa,Oguzhan Yilmaz,21,125 bin €
Beşiktaş,Francisco Montero,25,2.00 mil. €
Beşiktaş,Berkay Vardar,21,350 bin €
Hatayspor,Recep Burak Yılmaz,29,175 bin €
Kasımpaşa,Tarkan Serbest,30,300 bin €
Ümraniyespor,Mustafa Eser,23,225 bin €
Trabzonspor,Eren Elmalı,24,4.00 mil. €
Konyaspor,Soner Dikmen,31,1.30 mil. €
Sivasspor,Aaron Appindangoyé,32,700 bin €
Trabzonspor,Uğurcan Çakır,28,8.00 mil. €
Sivasspor,Leke James,32,50 bin €
Beşiktaş,Tayfur Bingöl,31,550 bin €
Fatih Karagümrük,Jimmy Durmaz,35,75 bin €
Ümraniyespor,Olarenwaju Kayode,31,500 bin €
Sivasspor,Erdoğan Yeşilyurt,31,1.20 mil. €
Hatayspor,Burak Öksüz,28,550 bin €
Ümraniyespor,Geraldo,42,-
Fatih Karagümrük,Emiliano Viviano,39,-
Kayserispor,Ali Karimi,46,-
MKE Ankaragücü,Emre Kılınç,30,1.70 mil. €
Ümraniyespor,Ermir Lenjani,35,50 bin €
Sivasspor,Ali Şaşal Vural,34,175 bin €
Antalyaspor,Helton Leite,34,900 bin €
Beşiktaş,Valentin Rosier,28,4.00 mil. €
Gaziantep FK,Ángelo Sagal,31,550 bin €
Hatayspor,Rúben Ribeiro,37,100 bin €
Alanyaspor,Daniel Candeias,36,50 bin €
Ümraniyespor,Jesse Sekidika,28,700 bin €
Giresunspor,Faruk Can Genç,24,150 bin €
Fatih Karagümrük,Kerim Frei,31,175 bin €
Hatayspor,Ayoub El Kaabi,31,5.00 mil. €
Ümraniyespor,Antonio Mršić,37,-
Giresunspor,Görkem Sağlam,26,1.10 mil. €
Galatasaray,Barış Alper Yılmaz,24,20.00 mil. €
Adana Demirspor,Artem Dzyuba,36,1.80 mil. €
Fenerbahçe,Emre Mor,27,1.10 mil. €
Sivasspor,Robin Yalçın,30,600 bin €
Adana Demirspor,Birkir Bjarnason,36,300 bin €
Fenerbahçe,Mert Hakan Yandaş,30,1.10 mil. €
Konyaspor,Zymer Bytyqi,28,2.80 mil. €
Giresunspor,Hayrullah Bilazer,29,225 bin €
Alanyaspor,Leroy Fer,34,200 bin €
MKE Ankaragücü,Abdullah Durak,37,-
Adana Demirspor,Erhun Öztümer,33,-
Trabzonspor,Dorukhan Toköz,28,1.40 mil. €
Adana Demirspor,Babajide David Akintola,28,1.50 mil. €
MKE Ankaragücü,Lamine Diack,24,1.10 mil. €
Fatih Karagümrük,Jean Evrard Kouassi,30,800 bin €
Fatih Karagümrük,Saba Lobjanidze,30,4.00 mil. €
Hatayspor,Kaan Kanak,34,50 bin €
Fenerbahçe,İrfan Can Eğribayat,26,1.00 mil. €
Kasımpaşa,Stéphane Bahoken,32,800 bin €
Fatih Karagümrük,Andrea Bertolacci,33,250 bin €
Sivasspor,Murat Paluli,30,800 bin €
Kasımpaşa,Mounir Chouiar,25,3.00 mil. €
Fatih Karagümrük,Ebrima Colley,24,2.00 mil. €
Kasımpaşa,Mickael Tirpan,31,700 bin €
Kasımpaşa,Erdem Canpolat,23,800 bin €
Sivasspor,Alaaddin Okumuş,29,150 bin €
Hatayspor,Kamil Ahmet Çörekçi,32,200 bin €
Trabzonspor,Jean-Philippe Gbamin,29,2.00 mil. €
Başakşehir FK,Patryk Szysz,26,600 bin €
Trabzonspor,Naci Ünüvar,21,2.50 mil. €
Beşiktaş,Kenan Karaman,30,2.50 mil. €
Giresunspor,Sergen Piçinciol,29,500 bin €
Antalyaspor,Muhammed Alperen Uysal,30,250 bin €
Sivasspor,Samba Camara,32,250 bin €
Başakşehir FK,Serdar Gürler,33,500 bin €
Sivasspor,Uğur Çiftçi,32,1.00 mil. €
İstanbulspor,Simon Deli,33,200 bin €
Kasımpaşa,Ertuğrul Taşkıran,35,75 bin €
Fenerbahçe,Miha Zajc,30,1.80 mil. €
Başakşehir FK,Philippe Keny,25,1.30 mil. €
Alanyaspor,Efthymios Koulouris,28,1.50 mil. €
Galatasaray,Fredrik Midtsjø,31,1.60 mil. €
Alanyaspor,Oğuz Aydın,24,6.00 mil. €
MKE Ankaragücü,Taylan Antalyalı,29,1.20 mil. €
Fenerbahçe,Ezgjan Alioski,32,1.70 mil. €
MKE Ankaragücü,Pedrinho,26,5.00 mil. €
Ümraniyespor,Onur Ayık,34,100 bin €
MKE Ankaragücü,Bahadır Han Güngördü,28,850 bin €
Adana Demirspor,Kévin Soni,26,350 bin €
Trabzonspor,Arif Boşluk,21,275 bin €
Konyaspor,Bruno Paz,26,400 bin €
Beşiktaş,Necip Uysal,33,550 bin €
Konyaspor,Uğurcan Yazğılı,25,1.20 mil. €
Beşiktaş,Welinton,35,100 bin €
MKE Ankaragücü,Stelios Kitsiou,31,500 bin €
Alanyaspor,Yusuf Özdemir,23,2.40 mil. €
Başakşehir FK,Berkay Özcan,26,2.70 mil. €
Konyaspor,Andreas Bouchalakis,31,500 bin €
Antalyaspor,Bertuğ Yıldırım,22,3.50 mil. €
Fenerbahçe,João Pedro Galvão,32,3.00 mil. €
Beşiktaş,Dele Alli,28,3.50 mil. €
Antalyaspor,Hakan Özmert,39,-
Beşiktaş,Georges-Kévin N'Koudou,29,5.00 mil. €
Ümraniyespor,Durel Avounou,27,750 bin €
Konyaspor,Robert Murić,28,800 bin €
Hatayspor,Musa Çağıran,32,-
Giresunspor,Talha Ülvan,23,125 bin €
Giresunspor,Borja Sainz,23,2.20 mil. €
Alanyaspor,Efkan Bekiroğlu,29,1.80 mil. €
Fatih Karagümrük,Batuhan Ahmet Şen,25,275 bin €
Fatih Karagümrük,Münir Levent Mercan,24,2.30 mil. €
Ümraniyespor,Isaac Sackey,30,300 bin €
Trabzonspor,Hüseyin Türkmen,26,175 bin €
Antalyaspor,Luiz Adriano,37,250 bin €
Kasımpaşa,Ryan Donk,38,-
Kayserispor,Mario Gavranović,35,-
MKE Ankaragücü,Anastasios Chatzigiovanis,27,1.50 mil. €
Giresunspor,Alexis Pérez,30,2.50 mil. €
Alanyaspor,Erencan Yardımcı,22,3.00 mil. €
Alanyaspor,Zinedine Ferhat,31,1.20 mil. €
Fenerbahçe,İsmail Yüksek,25,14.00 mil. €
Alanyaspor,Ümit Akdağ,21,800 bin €
Konyaspor,Niko Rak,21,550 bin €
Trabzonspor,Salih Malkoçoğlu,19,250 bin €
Trabzonspor,Emirhan Zaman,21,50 bin €
Ümraniyespor,Osman Bugra Erdogan,20,-
Başakşehir FK,Francis Nzaba,22,800 bin €
Galatasaray,Kaan Ayhan,30,4.60 mil. €
Fatih Karagümrük,Bruno Rodrigues,27,2.00 mil. €
Kayserispor,Joseph Attamah,30,500 bin €
Gaziantep FK,Abdulkadir Parmak,29,175 bin €
Başakşehir FK,Şener Özbayraklı,34,-
Giresunspor,Alper Uludağ,34,100 bin €
Başakşehir FK,Stefano Okaka,35,300 bin €
Antalyaspor,Bünyamin Balcı,24,2.00 mil. €
İstanbulspor,İbrahim Yilmaz,30,200 bin €
Giresunspor,Robert Mejía,24,800 bin €
Alanyaspor,Umut Güneş,24,2.30 mil. €
Fenerbahçe,Serdar Aziz,34,200 bin €
Başakşehir FK,Mahmut Tekdemir,36,25 bin €
İstanbulspor,Ali Yaşar,29,300 bin €
Kayserispor,Dimitris Kolovetsios,N/A,N/A
Kayserispor,İlhan Parlak,37,-
MKE Ankaragücü,Andrej Đokanović,N/A,N/A
İstanbulspor,Emir Kaan Gültekin,24,950 bin €
Antalyaspor,Gökdeniz Bayrakdar,23,2.20 mil. €
MKE Ankaragücü,Nihad Mujakić,26,1.80 mil. €
Hatayspor,Burak Bekaroğlu,27,300 bin €
Hatayspor,Ognjen Vranješ,35,100 bin €
Sivasspor,Ziya Erdal,36,50 bin €
Kayserispor,Gökhan Sazdağı,30,1.00 mil. €
Giresunspor,Brandley Kuwas,32,350 bin €
Sivasspor,Clinton N'Jie,31,850 bin €
Fatih Karagümrük,Salih Dursun,33,75 bin €
Antalyaspor,Ruud Boffin,37,-
Giresunspor,Onurcan Piri,30,200 bin €
Hatayspor,Mehdi Boudjemaa,26,550 bin €
Trabzonspor,Lazar Marković,30,1.50 mil. €
Sivasspor,Hakan Arslan,36,100 bin €
MKE Ankaragücü,Jesé Rodríguez,31,500 bin €
Antalyaspor,Fedor Kudryashov,37,-
Giresunspor,Kadir Seven,21,225 bin €
MKE Ankaragücü,Giorgi Beridze,27,750 bin €
İstanbulspor,Demeaco Duhaney,26,200 bin €
Alanyaspor,Idrissa Doumbia,26,1.40 mil. €
Konyaspor,Domagoj Pavičić,30,350 bin €
Kasımpaşa,Mustafa Eskihellaç,27,1.30 mil. €
Kasımpaşa,Mamadou Fall,32,850 bin €
Başakşehir FK,Junior Caiçara,35,-
Ümraniyespor,Strahil Popov,34,75 bin €
Alanyaspor,Famara Diédhiou,32,400 bin €
Başakşehir FK,Muhammet Arslantaş,23,125 bin €
Trabzonspor,Taha Altıkardeş,21,5.50 mil. €
Antalyaspor,Admir Mehmedi,33,-
Kasımpaşa,Jeffrey Bruma,33,250 bin €
Giresunspor,Murat Cem Akpinar,25,600 bin €
Konyaspor,Endri Çekiçi,28,1.00 mil. €
Kasımpaşa,Raoul Petretta,27,600 bin €
MKE Ankaragücü,Yasin Güreler,33,125 bin €
Ümraniyespor,Serkan Göksu,31,225 bin €
Kayserispor,Ramazan Civelek,28,600 bin €
Adana Demirspor,Mert Çetin,27,550 bin €
Adana Demirspor,Henry Onyekuru,27,4.00 mil. €
Antalyaspor,Emrecan Uzunhan,23,500 bin €
Ümraniyespor,Adel Bettaieb,27,300 bin €
Fatih Karagümrük,Davide Biraschi,30,700 bin €
Adana Demirspor,Britt Assombalonga,32,750 bin €
İstanbulspor,Valmir Veliu,24,350 bin €
Konyaspor,Cebrail Karayel,30,150 bin €
Hatayspor,Sadik Bas,30,-
Alanyaspor,Arnaud Lusamba,27,1.20 mil. €
Kasımpaşa,Yasin Özcan,18,4.50 mil. €
Ümraniyespor,Berke Özer,24,3.50 mil. €
Beşiktaş,Umut Meraş,29,400 bin €
Hatayspor,Rayane Aabid,32,125 bin €
Hatayspor,Kevin Varga,28,500 bin €
İstanbulspor,Tuncer Duhan Aksu,27,400 bin €
Trabzonspor,Doğucan Haspolat,24,4.00 mil. €
Alanyaspor,Joher Khadim Rassoul,28,400 bin €
Beşiktaş,Kerem Atakan Kesgin,24,900 bin €
Antalyaspor,Sinan Gümüş,30,75 bin €
Hatayspor,Dylan Saint-Louis,29,275 bin €
Antalyaspor,Ufuk Akyol,27,850 bin €
Kayserispor,Anthony Uzodimma,25,300 bin €
Antalyaspor,Alassane Ndao,28,1.30 mil. €
Kasımpaşa,Ahmet Engin,28,350 bin €
Trabzonspor,Yusuf Yazıcı,27,8.00 mil. €
Trabzonspor,Berat Ayberk Özdemir,26,4.80 mil. €
Adana Demirspor,Hamza Jaganjac,20,50 bin €
Alanyaspor,Ahmet Gülay,21,-
Antalyaspor,Erkan Eyibil,23,200 bin €
MKE Ankaragücü,Arda Ünyay,17,200 bin €
Fatih Karagümrük,Efecan Mizrakci,20,-
Adana Demirspor,Samuel Nongoh,20,100 bin €
Başakşehir FK,Ayberk Kaygisiz,20,100 bin €
Başakşehir FK,Edgar Ié,30,750 bin €
MKE Ankaragücü,Ali Kaan Güneren,24,1.40 mil. €
Trabzonspor,Serkan Asan,25,250 bin €
Gaziantep FK,Luka Stankovski,22,650 bin €
Kayserispor,Talha Sariarslan,20,225 bin €
İstanbulspor,Patrick Ebert,37,-
Hatayspor,Simon Falette,32,200 bin €
Gaziantep FK,Halil Ibrahim Pehlivan,31,275 bin €
Antalyaspor,Sherel Floranus,26,750 bin €
Giresunspor,Ramón Arias,32,350 bin €
Trabzonspor,Djaniny,33,2.50 mil. €
Sivasspor,Kader Keïta,43,-
MKE Ankaragücü,Hasan Ali Kaldırım,35,100 bin €
Kasımpaşa,Daniel Graovac,31,400 bin €
Gaziantep FK,Tomáš Pekhart,35,250 bin €
Kasımpaşa,Fabiano Silva,24,1.50 mil. €
MKE Ankaragücü,Firatcan Üzüm,25,250 bin €
İstanbulspor,Kerem Şen,50,-
Fatih Karagümrük,Samed Onur,22,350 bin €
Kasımpaşa,Tunay Torun,34,-
Kayserispor,Mustafa Pektemek,36,50 bin €
Gaziantep FK,Ömürcan Artan,25,225 bin €
Galatasaray,Yusuf Demir,21,2.20 mil. €
Fatih Karagümrük,Otabek Shukurov,28,1.80 mil. €
Beşiktaş,Ersin Destanoğlu,23,2.00 mil. €
Sivasspor,Jordy Caicedo,27,2.00 mil. €
Fatih Karagümrük,Anwan Lawrence,23,100 bin €
Başakşehir FK,Mesut Özil,36,-
MKE Ankaragücü,Bevic Moussiti Oko,N/A,N/A
İstanbulspor,Adi Mehremić,32,100 bin €
Konyaspor,Oğulcan Ülgün,26,1.00 mil. €
Giresunspor,Rahmetullah Berisbek,25,650 bin €
Fenerbahçe,Bright Osayi-Samuel,26,8.00 mil. €
Giresunspor,Oğulcan Çağlayan,28,450 bin €
Konyaspor,Konrad Michalak,27,1.00 mil. €
İstanbulspor,Oğuzhan Berber,32,75 bin €
Giresunspor,Serginho,53,-
MKE Ankaragücü,Matěj Hanousek,31,200 bin €
Ümraniyespor,Valentin Gheorghe,27,450 bin €
Konyaspor,Amilton da Silva,,-
Adana Demirspor,Yusuf Erdoğan,32,500 bin €
MKE Ankaragücü,Oğuz Ceylan,34,75 bin €
Giresunspor,Mert Kurt,22,50 bin €
Antalyaspor,Houssameddine Ghacha,N/A,N/A
Konyaspor,Erhan Erentürk,29,250 bin €
Adana Demirspor,Abdurrahim Dursun,26,250 bin €
Konyaspor,Uche Ikpeazu,29,200 bin €
Başakşehir FK,Shaocong Wu,24,300 bin €
Hatayspor,Muhammed Mert,29,100 bin €
Konyaspor,Kahraman Demirtaş,30,100 bin €
Trabzonspor,Jens Stryger Larsen,33,600 bin €
Fatih Karagümrük,Burak Kapacak,25,200 bin €
Sivasspor,Karol Angielski,28,900 bin €
İstanbulspor,Aldin Čajić,32,50 bin €
İstanbulspor,Sindrit Guri,N/A,N/A
Fenerbahçe,Serdar Dursun,33,400 bin €
MKE Ankaragücü,Gboly Ariyibi,29,150 bin €
Ümraniyespor,Onur Atasayar,29,50 bin €
Konyaspor,Amar Rahmanović,30,1.50 mil. €
Ümraniyespor,Metehan Mimaroğlu,30,400 bin €
Antalyaspor,Cemali Sertel,24,1.00 mil. €
Ümraniyespor,Fatih Yiğit Şanlitürk,21,-
Fatih Karagümrük,Colin Kazim-Richards,38,100 bin €
Galatasaray,Alexandru Cicâldău,27,2.50 mil. €
Trabzonspor,Poyraz Efe Yıldırım,19,1.10 mil. €
Başakşehir FK,Enzo Crivelli,29,1.50 mil. €
Hatayspor,Mohammed Kamara,27,600 bin €
Gaziantep FK,Torgeir Børven,33,250 bin €
İstanbulspor,Raymond Owusu,22,150 bin €
Adana Demirspor,Salih Kavrazlı,22,150 bin €
Konyaspor,Yasir Subaşı,28,75 bin €
Kasımpaşa,Selim Dilli,26,100 bin €
Kasımpaşa,Recep Yemişçi,25,225 bin €
Ümraniyespor,Yusuf Saitoğlu,21,50 bin €
MKE Ankaragücü,Ibrahim Yilmaz Cicek,18,-
Galatasaray,Okan Kocuk,29,1.70 mil. €
Ümraniyespor,Nika Gagnidze,23,500 bin €
İstanbulspor,Vefa Temel,22,375 bin €
Ümraniyespor,Batuhan Arici,21,50 bin €
Hatayspor,Jeremy Dudziak,29,750 bin €
Başakşehir FK,Berkay Aydogmus,20,100 bin €
Beşiktaş,Semih Kılıçsoy,19,15.00 mil. €
MKE Ankaragücü,Pêpê,29,9.00 mil. €
Sivasspor,Ahmed Musa,32,500 bin €
Kasımpaşa,Berat Kalkan,21,200 bin €
